DEVICE,DETECTOR,LATITUDE,LONGITUDE,DIRECTION
tre309,a50_1,61.49893873,23.73609456,east
tre309,a50_2,61.49897046,23.73607795,east
tre309,b50_1,61.49925527,23.73867928,west
tre309,b50_2,61.49921883,23.73868534,west
tre309,d40_1,61.4986568,23.73792381,northwest
tre309,d40_2,61.49863848,23.73786634,northwest
tre309,d74,61.49841358,23.73819646,northwest
tre309,e25,61.49947226,23.73724717,south
tre309,e60,61.49984375,23.73732575,south
tre309,f25,61.49946947,23.7373208,south
tre327,a25_1,61.50201121,23.77048724,south
tre327,a25_2,61.50201586,23.77055118,south
tre327,a55,61.50229397,23.77044258,south
tre327,b20,61.5012416,23.7709901,north
tre327,b50,61.5010267,23.77099593,north
tre327,c20,61.5012365,23.77091174,north
tre327,e50,61.5014862,23.76949806,east
tre327,e50_1,61.50146134,23.76950433,east
tre327,e50_2,61.5014862,23.76949806,east
tre402,a50_1,61.49886237,23.77844153,east
tre402,a50_2,61.49889288,23.77844125,east
tre402,b50_1,61.49902898,23.78094927,west
tre402,b50_2,61.49899706,23.78095043,west
tre402,b60_1,61.49906006,23.78544043,west
tre402,b60_2,61.49902338,23.78544055,west
tre402,c50,61.49891913,23.77843211,east
tre402,d40,61.49896912,23.78076207,west
tre402,f55_1,61.49829867,23.77984692,north
tre402,f55_2,61.49829866,23.77977864,north
tre402,g55_1,61.49959767,23.77956043,south
tre402,g55_2,61.49959722,23.77964726,south
tre402,x111,61.49888496,23.78038647,east
tre402,x112,61.49892085,23.78038511,east
tre402,x211,61.49900772,23.77918587,west
tre402,x212,61.4989727,23.77918657,west
tre402,x511,61.49917353,23.77984554,north
tre402,x512,61.49917217,23.77976109,north
tre402,x611,61.49870128,23.77962458,south
tre402,x612,61.49870179,23.77969968,south
tre426,a120,61.49782413,23.79429856,east
tre426,a60_1,61.49764231,23.79538505,east
tre426,a60_2,61.49766802,23.79541367,east
tre426,b140,61.49702931,23.79963509,west
tre426,b60_1,61.49726797,23.79829254,west
tre426,b60_2,61.49724818,23.79826373,west
tre501,a155,61.50205484,23.80357854,east
tre501,a155_1,61.50205484,23.80357854,east
tre501,a155_2,61.50208505,23.8035573,east
tre501,a175,61.50200686,23.80325274,east
tre501,a50_1,61.50220933,23.80551119,east
tre501,a50_2,61.50224147,23.80550387,east
tre501,a50_3,61.50227257,23.80549497,east
tre501,a90_1,61.50215337,23.80477326,east
tre501,a90_2,61.50218582,23.80476328,east
tre501,a90_3,61.50221701,23.80474948,east
tre501,b190_1,61.5027451,23.81075561,west
tre501,b190_2,61.50271139,23.81076896,west
tre501,b210,61.50280585,23.8111801,west
tre501,b50_1,61.50246349,23.8081917,west
tre501,b50_2,61.5024315,23.80820113,west
tre501,b90_1,61.50251983,23.80893634,west
tre501,b90_2,61.50248805,23.80894121,west
tre501,c25,61.50232312,23.80595114,east
tre501,d30,61.50247743,23.80780897,west
tre501,e40,61.50183691,23.80730529,northwest
tre501,f40,61.50182633,23.80723795,northwest
tre505,a110_1,61.49476713,23.79791873,southeast
tre505,a110_2,61.4947933,23.79793831,southeast
tre505,a70,61.49464083,23.79861247,southeast
tre505,b110,61.4938997,23.80225247,northwest
tre505,b20,61.49425975,23.80073444,northwest
tre505,b70,61.49403508,23.80156169,northwest
tre505,c70,61.49466656,23.79863703,southeast
tre505,d35_1,61.4947216,23.80054758,southwest
tre505,d35_2,61.49473661,23.80052941,southwest
tre514,a35_1,61.48280306,23.77634291,south
tre514,a35_2,61.48279751,23.7764055,south
tre514,a35_3,61.48279284,23.77647009,south
